Id,Number of Records,Petal Length Cm,Petal Width Cm,Sepal Length Cm & Sepal Width Cm (clusters),Sepal Length Cm,Sepal Width Cm,Species
1,1,1.4,0.2,Cluster 1,5.1,3.5,Iris-setosa
2,1,1.4,0.2,Cluster 2,4.9,3,Iris-setosa
3,1,1.3,0.2,Cluster 2,4.7,3.2,Iris-setosa
4,1,1.5,0.2,Cluster 2,4.6,3.1,Iris-setosa
5,1,1.4,0.2,Cluster 1,5,3.6,Iris-setosa
6,1,1.7,0.4,Cluster 1,5.4,3.9,Iris-setosa
7,1,1.4,0.3,Cluster 2,4.6,3.4,Iris-setosa
8,1,1.5,0.2,Cluster 2,5,3.4,Iris-setosa
9,1,1.4,0.2,Cluster 2,4.4,2.9,Iris-setosa
10,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-setosa
11,1,1.5,0.2,Cluster 1,5.4,3.7,Iris-setosa
12,1,1.6,0.2,Cluster 2,4.8,3.4,Iris-setosa
13,1,1.4,0.1,Cluster 2,4.8,3,Iris-setosa
14,1,1.1,0.1,Cluster 2,4.3,3,Iris-setosa
15,1,1.2,0.2,Cluster 1,5.8,4,Iris-setosa
16,1,1.5,0.4,Cluster 1,5.7,4.4,Iris-setosa
17,1,1.3,0.4,Cluster 1,5.4,3.9,Iris-setosa
18,1,1.4,0.3,Cluster 1,5.1,3.5,Iris-setosa
19,1,1.7,0.3,Cluster 1,5.7,3.8,Iris-setosa
20,1,1.5,0.3,Cluster 1,5.1,3.8,Iris-setosa
21,1,1.7,0.2,Cluster 1,5.4,3.4,Iris-setosa
22,1,1.5,0.4,Cluster 1,5.1,3.7,Iris-setosa
23,1,1,0.2,Cluster 2,4.6,3.6,Iris-setosa
24,1,1.7,0.5,Cluster 2,5.1,3.3,Iris-setosa
25,1,1.9,0.2,Cluster 2,4.8,3.4,Iris-setosa
26,1,1.6,0.2,Cluster 2,5,3,Iris-setosa
27,1,1.6,0.4,Cluster 2,5,3.4,Iris-setosa
28,1,1.5,0.2,Cluster 1,5.2,3.5,Iris-setosa
29,1,1.4,0.2,Cluster 1,5.2,3.4,Iris-setosa
30,1,1.6,0.2,Cluster 2,4.7,3.2,Iris-setosa
31,1,1.6,0.2,Cluster 2,4.8,3.1,Iris-setosa
32,1,1.5,0.4,Cluster 1,5.4,3.4,Iris-setosa
33,1,1.5,0.1,Cluster 1,5.2,4.1,Iris-setosa
34,1,1.4,0.2,Cluster 1,5.5,4.2,Iris-setosa
35,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-setosa
36,1,1.2,0.2,Cluster 2,5,3.2,Iris-setosa
37,1,1.3,0.2,Cluster 1,5.5,3.5,Iris-setosa
38,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-setosa
39,1,1.3,0.2,Cluster 2,4.4,3,Iris-setosa
40,1,1.5,0.2,Cluster 2,5.1,3.4,Iris-setosa
41,1,1.3,0.3,Cluster 1,5,3.5,Iris-setosa
42,1,1.3,0.3,Cluster 3,4.5,2.3,Iris-setosa
43,1,1.3,0.2,Cluster 2,4.4,3.2,Iris-setosa
44,1,1.6,0.6,Cluster 1,5,3.5,Iris-setosa
45,1,1.9,0.4,Cluster 1,5.1,3.8,Iris-setosa
46,1,1.4,0.3,Cluster 2,4.8,3,Iris-setosa
47,1,1.6,0.2,Cluster 1,5.1,3.8,Iris-setosa
48,1,1.4,0.2,Cluster 2,4.6,3.2,Iris-setosa
49,1,1.5,0.2,Cluster 1,5.3,3.7,Iris-setosa
50,1,1.4,0.2,Cluster 2,5,3.3,Iris-setosa
