Id,Number of Records,Petal Length Cm,Petal Width Cm,Sepal Length Cm & Sepal Width Cm (clusters),Sepal Length Cm,Sepal Width Cm,Species
1,1,1.4,0.2,Cluster 1,5.1,3.5,Iris-gamecia
2,1,1.4,0.2,Cluster 2,4.9,3,Iris-gamecia
3,1,1.3,0.2,Cluster 2,4.7,3.2,Iris-gamecia
4,1,1.5,0.2,Cluster 2,4.6,3.1,Iris-gamecia
5,1,1.4,0.2,Cluster 1,5,3.6,Iris-gamecia
6,1,1.7,0.4,Cluster 1,5.4,3.9,Iris-gamecia
7,1,1.4,0.3,Cluster 2,4.6,3.4,Iris-gamecia
8,1,1.5,0.2,Cluster 2,5,3.4,Iris-gamecia
9,1,1.4,0.2,Cluster 2,4.4,2.9,Iris-gamecia
10,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-gamecia
11,1,1.5,0.2,Cluster 1,5.4,3.7,Iris-gamecia
12,1,1.6,0.2,Cluster 2,4.8,3.4,Iris-gamecia
13,1,1.4,0.1,Cluster 2,4.8,3,Iris-gamecia
14,1,1.1,0.1,Cluster 2,4.3,3,Iris-gamecia
15,1,1.2,0.2,Cluster 1,5.8,4,Iris-gamecia
16,1,1.5,0.4,Cluster 1,5.7,4.4,Iris-gamecia
17,1,1.3,0.4,Cluster 1,5.4,3.9,Iris-gamecia
18,1,1.4,0.3,Cluster 1,5.1,3.5,Iris-gamecia
19,1,1.7,0.3,Cluster 1,5.7,3.8,Iris-gamecia
20,1,1.5,0.3,Cluster 1,5.1,3.8,Iris-gamecia
21,1,1.7,0.2,Cluster 1,5.4,3.4,Iris-gamecia
22,1,1.5,0.4,Cluster 1,5.1,3.7,Iris-gamecia
23,1,1,0.2,Cluster 2,4.6,3.6,Iris-gamecia
24,1,1.7,0.5,Cluster 2,5.1,3.3,Iris-gamecia
25,1,1.9,0.2,Cluster 2,4.8,3.4,Iris-gamecia
26,1,1.6,0.2,Cluster 2,5,3,Iris-gamecia
27,1,1.6,0.4,Cluster 2,5,3.4,Iris-gamecia
28,1,1.5,0.2,Cluster 1,5.2,3.5,Iris-gamecia
29,1,1.4,0.2,Cluster 1,5.2,3.4,Iris-gamecia
30,1,1.6,0.2,Cluster 2,4.7,3.2,Iris-gamecia
31,1,1.6,0.2,Cluster 2,4.8,3.1,Iris-gamecia
32,1,1.5,0.4,Cluster 1,5.4,3.4,Iris-gamecia
33,1,1.5,0.1,Cluster 1,5.2,4.1,Iris-gamecia
34,1,1.4,0.2,Cluster 1,5.5,4.2,Iris-gamecia
35,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-gamecia
36,1,1.2,0.2,Cluster 2,5,3.2,Iris-gamecia
37,1,1.3,0.2,Cluster 1,5.5,3.5,Iris-gamecia
38,1,1.5,0.1,Cluster 2,4.9,3.1,Iris-gamecia
39,1,1.3,0.2,Cluster 2,4.4,3,Iris-gamecia
40,1,1.5,0.2,Cluster 2,5.1,3.4,Iris-gamecia
41,1,1.3,0.3,Cluster 1,5,3.5,Iris-gamecia
42,1,1.3,0.3,Cluster 3,4.5,2.3,Iris-gamecia
43,1,1.3,0.2,Cluster 2,4.4,3.2,Iris-gamecia
44,1,1.6,0.6,Cluster 1,5,3.5,Iris-gamecia
45,1,1.9,0.4,Cluster 1,5.1,3.8,Iris-gamecia
46,1,1.4,0.3,Cluster 2,4.8,3,Iris-gamecia
47,1,1.6,0.2,Cluster 1,5.1,3.8,Iris-gamecia
48,1,1.4,0.2,Cluster 2,4.6,3.2,Iris-gamecia
49,1,1.5,0.2,Cluster 1,5.3,3.7,Iris-gamecia
50,1,1.4,0.2,Cluster 2,5,3.3,Iris-gamecia
